gs1_ai_number,gs1_ai_regex,gs1_ai_format,gs1_ai_format_terms,gs1_ai_format_length_varies,gs1_ai_format_length_total_with_ai_and_fnc1,gs1_ai_format_length_min,gs1_ai_format_length_max,gs1_ai_term1_format,gs1_ai_term1_length_fixed,gs1_ai_term2_format,gs1_ai_term2_datatype,gs1_ai_term2_length_fixed,gs1_ai_term2_length_variable,gs1_ai_term3_format,gs1_ai_term3_datatype,gs1_ai_term3_length_fixed,gs1_ai_term3_length_variable,gs1_ai_FNC1_required,gs1_ai_description,gs1_ai_name,gs1_ai_note,gs1_ai_url
20,^20(\d{2})$,N2+N2,2,FALSE,4,2,2,N2,2,N2,N,2,,,,,,FALSE,Internal product variant,VARIANT,,https://www.gs1.org/standards/barcodes/application-identifiers/20?lang=en
21,"^21([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N2+X..20,2,TRUE,23,1,20,N2,2,X..20,X,,20,,,,,TRUE,Serial number,SERIAL,,https://www.gs1.org/standards/barcodes/application-identifiers/21?lang=en
22,"^22([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N2+X..20,2,TRUE,23,1,20,N2,2,X..20,X,,20,,,,,TRUE,Consumer product variant,CPV,,https://www.gs1.org/standards/barcodes/application-identifiers/22?lang=en
30,"^30(\d{0,8})$",N2+N..8,2,TRUE,11,1,8,N2,2,N..8,N,,8,,,,,TRUE,Variable count of items (variable measure trade item),VAR. COUNT,,https://www.gs1.org/standards/barcodes/application-identifiers/30?lang=en
37,"^37(\d{0,8})$",N2+N..8,2,TRUE,11,1,8,N2,2,N..8,N,,8,,,,,TRUE,Count of trade items or trade item pieces contained in a logistic unit,COUNT,,https://www.gs1.org/standards/barcodes/application-identifiers/37?lang=en
90,"^90([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N2+X..30,2,TRUE,33,1,30,N2,2,X..30,X,,30,,,,,TRUE,Information mutually agreed between trading partners,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/90?lang=en
91,"^91([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/91?lang=en
92,"^92([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/92?lang=en
93,"^93([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/93?lang=en
94,"^94([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/94?lang=en
95,"^95([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/95?lang=en
96,"^96([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/96?lang=en
97,"^97([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/97?lang=en
98,"^98([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/98?lang=en
99,"^99([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,90})$",N2+X..90,2,TRUE,93,1,90,N2,2,X..90,X,,90,,,,,TRUE,Company internal information,INTERNAL,,https://www.gs1.org/standards/barcodes/application-identifiers/99?lang=en
235,"^235([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,28})$",N3+X..28,2,TRUE,32,1,28,N3,3,X..28,X,,28,,,,,TRUE,"Third Party Controlled, Serialised Extension of GTIN (TPX)",TPX,,https://www.gs1.org/standards/barcodes/application-identifiers/235?lang=en
240,"^240([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Additional product identification assigned by the manufacturer,ADDITIONAL ID,,https://www.gs1.org/standards/barcodes/application-identifiers/240?lang=en
241,"^241([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Customer part number,CUST. PART NO.,,https://www.gs1.org/standards/barcodes/application-identifiers/241?lang=en
242,"^242(\d{0,6})$",N3+N..6,2,TRUE,10,1,6,N3,3,N..6,N,,6,,,,,TRUE,Made-to-Order variation number,MTO VARIANT,,https://www.gs1.org/standards/barcodes/application-identifiers/242?lang=en
243,"^243([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,Packaging component number,PCN,,https://www.gs1.org/standards/barcodes/application-identifiers/243?lang=en
250,"^250([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Secondary serial number,SECONDARY SERIAL,,https://www.gs1.org/standards/barcodes/application-identifiers/250?lang=en
251,"^251([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Reference to source entity,REF. TO SOURCE ,,https://www.gs1.org/standards/barcodes/application-identifiers/251?lang=en
253,"^253(\d{13})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,17})$",N3+N13+X..17,3,TRUE,34,14,30,N3,3,N13,N,13,,X..17,X,,17,TRUE,Global Document Type Identifier (GDTI),GDTI,,https://www.gs1.org/standards/barcodes/application-identifiers/253?lang=en
254,"^254([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,Global Location Number (GLN) extension component,GLN EXTENSION COMPONENT,,https://www.gs1.org/standards/barcodes/application-identifiers/254?lang=en
255,"^255(\d{13})(\d{0,12})$",N3+N13+N..12,3,TRUE,29,14,25,N3,3,N13,N,13,,N..12,N,,12,TRUE,Global Coupon Number (GCN),GCN,,https://www.gs1.org/standards/barcodes/application-identifiers/255?lang=en
400,"^400([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Customers purchase order number,ORDER NUMBER,,https://www.gs1.org/standards/barcodes/application-identifiers/400?lang=en
401,"^401([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Global Identification Number for Consignment (GINC),GINC,,https://www.gs1.org/standards/barcodes/application-identifiers/401?lang=en
402,^402(\d{17})$,N3+N17,2,FALSE,21,17,17,N3,3,N17,N,17,,,,,,TRUE,Global Shipment Identification Number (GSIN),GSIN,,https://www.gs1.org/standards/barcodes/application-identifiers/402?lang=en
403,"^403([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$",N3+X..30,2,TRUE,34,1,30,N3,3,X..30,X,,30,,,,,TRUE,Routing code,ROUTE,,https://www.gs1.org/standards/barcodes/application-identifiers/403?lang=en
410,^410(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Ship to / Deliver to Global Location Number (GLN),SHIP TO LOC,,https://www.gs1.org/standards/barcodes/application-identifiers/410?lang=en
411,^411(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Bill to / Invoice to Global Location Number (GLN),BILL TO ,,https://www.gs1.org/standards/barcodes/application-identifiers/411?lang=en
412,^412(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Purchased from Global Location Number (GLN),PURCHASE FROM,,https://www.gs1.org/standards/barcodes/application-identifiers/412?lang=en
413,^413(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Ship for / Deliver for - Forward to Global Location Number (GLN),SHIP FOR LOC,,https://www.gs1.org/standards/barcodes/application-identifiers/413?lang=en
414,^414(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Identification of a physical location - Global Location Number (GLN),LOC No,,https://www.gs1.org/standards/barcodes/application-identifiers/414?lang=en
415,^415(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Global Location Number (GLN) of the invoicing party,PAY TO,,https://www.gs1.org/standards/barcodes/application-identifiers/415?lang=en
416,^416(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Global Location Number (GLN) of the production or service location,PROD/SERV LOC,,https://www.gs1.org/standards/barcodes/application-identifiers/416?lang=en
417,^417(\d{13})$,N3+N13,2,FALSE,16,13,13,N3,3,N13,N,13,,,,,,FALSE,Party Global Location Number (GLN),PARTY,,https://www.gs1.org/standards/barcodes/application-identifiers/417?lang=en
420,"^420([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,Ship to / Deliver to postal code within a single postal authority,SHIP TO POST,,https://www.gs1.org/standards/barcodes/application-identifiers/420?lang=en
421,"^421(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,9})$",N3+N3+X..9,3,TRUE,16,4,12,N3,3,N3,N,3,,X..9,X,,9,TRUE,Ship to / Deliver to postal code with ISO country code,SHIP TO POST,,https://www.gs1.org/standards/barcodes/application-identifiers/421?lang=en
422,^422(\d{3})$,N3+N3,2,FALSE,7,3,3,N3,3,N3,N,3,,,,,,TRUE,Country of origin of a trade item,ORIGIN,,https://www.gs1.org/standards/barcodes/application-identifiers/422?lang=en
423,"^423(\d{3})(\d{0,12})$",N3+N3+N..12,3,TRUE,19,4,15,N3,3,N3,N,3,,N..12,N,,12,TRUE,Country of initial processing,COUNTRY - INITIAL PROCESS.,,https://www.gs1.org/standards/barcodes/application-identifiers/423?lang=en
424,^424(\d{3})$,N3+N3,2,FALSE,7,3,3,N3,3,N3,N,3,,,,,,TRUE,Country of processing,COUNTRY - PROCESS.,,https://www.gs1.org/standards/barcodes/application-identifiers/424?lang=en
425,"^425(\d{3})(\d{0,12})$",N3+N3+N..12,3,TRUE,19,4,15,N3,3,N3,N,3,,N..12,N,,12,TRUE,Country of disassembly,COUNTRY - DISASSEMBLY,,https://www.gs1.org/standards/barcodes/application-identifiers/425?lang=en
426,^426(\d{3})$,N3+N3,2,FALSE,7,3,3,N3,3,N3,N,3,,,,,,TRUE,Country covering full process chain,COUNTRY - FULL PROCESS,,https://www.gs1.org/standards/barcodes/application-identifiers/426?lang=en
427,"^427([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,3})$",N3+X..3,2,TRUE,7,1,3,N3,3,X..3,X,,3,,,,,TRUE,Country subdivision Of origin,ORIGIN SUBDIVISION,,https://www.gs1.org/standards/barcodes/application-identifiers/427?lang=en
710,"^710([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,National Healthcare Reimbursement Number (NHRN) - Germany PZN,NHRN PZN,AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).,https://www.gs1.org/standards/barcodes/application-identifiers/710?lang=en
711,"^711([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,National Healthcare Reimbursement Number (NHRN) - France CIP,NHRN CIP,AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).,https://www.gs1.org/standards/barcodes/application-identifiers/711?lang=en
712,"^712([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,National Healthcare Reimbursement Number (NHRN) - Spain CN,NHRN CN,AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).,https://www.gs1.org/standards/barcodes/application-identifiers/712?lang=en
713,"^713([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,National Healthcare Reimbursement Number (NHRN) - Brasil DRN,NHRN DRN,AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).,https://www.gs1.org/standards/barcodes/application-identifiers/713?lang=en
714,"^714([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N3+X..20,2,TRUE,24,1,20,N3,3,X..20,X,,20,,,,,TRUE,National Healthcare Reimbursement Number (NHRN) - Portugal AIM,NHRN AIM,AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).,https://www.gs1.org/standards/barcodes/application-identifiers/714?lang=en
3100,^3100(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, kilograms (variable measure trade item)",NET WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3100?lang=en
3101,^3101(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, kilograms (variable measure trade item)",NET WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3101?lang=en
3102,^3102(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, kilograms (variable measure trade item)",NET WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3102?lang=en
3103,^3103(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, kilograms (variable measure trade item)",NET WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3103?lang=en
3104,^3104(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, kilograms (variable measure trade item)",NET WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3104?lang=en
3105,^3105(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, kilograms (variable measure trade item)",NET WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3105?lang=en
3110,^3110(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres (variable measure trade item)",LENGTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3110?lang=en
3111,^3111(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres (variable measure trade item)",LENGTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3111?lang=en
3112,^3112(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres (variable measure trade item)",LENGTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3112?lang=en
3113,^3113(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres (variable measure trade item)",LENGTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3113?lang=en
3114,^3114(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres (variable measure trade item)",LENGTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3114?lang=en
3115,^3115(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres (variable measure trade item)",LENGTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3115?lang=en
3120,^3120(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres (variable measure trade item)",WIDTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3120?lang=en
3121,^3121(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres (variable measure trade item)",WIDTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3121?lang=en
3122,^3122(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres (variable measure trade item)",WIDTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3122?lang=en
3123,^3123(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres (variable measure trade item)",WIDTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3123?lang=en
3124,^3124(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres (variable measure trade item)",WIDTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3124?lang=en
3125,^3125(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres (variable measure trade item)",WIDTH (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3125?lang=en
3130,^3130(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres (variable measure trade item)",HEIGHT (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3130?lang=en
3131,^3131(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres (variable measure trade item)",HEIGHT (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3131?lang=en
3132,^3132(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres (variable measure trade item)",HEIGHT (m),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3132?lang=en
